location,lat,lon,presmax,presmin,N
ATom-3-2017-10-06-2334,4.51,179.83,990.00,250.00,19.00
ATom-3-2017-10-07-2409,3.44,177.02,990.00,251.00,19.00
ATom-3-2017-10-07-2432,0.79,177.06,989.00,275.00,19.00
ATom-3-2017-10-07-2503,-2.69,177.42,989.00,276.00,18.00
ATom-3-2017-10-07-2526,-5.45,177.47,988.00,227.00,19.00
ATom-3-2017-10-07-2600,-9.14,177.36,990.00,228.00,19.00
ATom-3-2017-10-07-2623,-11.77,177.47,989.00,196.00,20.00
ATom-3-2017-10-07-2659,-16.44,177.60,986.00,197.00,19.00
ATom-3-2017-10-08-2002,-19.11,177.32,968.00,314.00,17.00
ATom-3-2017-10-08-2037,-22.46,177.93,998.00,315.00,18.00
ATom-3-2017-10-08-2100,-24.75,178.48,997.00,314.00,18.00
ATom-3-2017-10-08-2129,-27.75,179.23,997.00,316.00,18.00
ATom-3-2017-10-08-2150,-30.26,179.90,996.00,287.00,18.00
ATom-3-2017-10-08-2246,-36.82,181.86,1000.00,288.00,18.00
ATom-3-2017-10-08-2310,-39.46,182.74,999.00,250.00,19.00
ATom-3-2017-10-08-2345,-43.29,184.14,1008.00,251.00,19.00
ATom-3-2017-10-09-2409,-45.64,183.86,1006.00,227.00,19.00
ATom-3-2017-10-09-2445,-48.38,180.18,1005.00,228.00,19.00
ATom-3-2017-10-09-2509,-50.11,177.43,1003.00,227.00,19.00
ATom-3-2017-10-09-2616,-54.72,168.26,988.00,228.00,19.00
ATom-3-2017-10-09-2653,-54.75,165.55,952.00,197.00,18.00
ATom-3-2017-10-09-2846,-43.93,171.63,997.00,377.00,16.00
ATom-3-2017-10-11-1758,-44.13,174.25,974.00,315.00,17.00
ATom-3-2017-10-11-1906,-49.55,180.79,956.00,315.00,16.00
ATom-3-2017-10-11-1928,-51.60,183.63,954.00,287.00,16.00
ATom-3-2017-10-11-2028,-56.60,192.40,958.00,288.00,16.00
ATom-3-2017-10-11-2051,-58.51,196.90,956.00,262.00,17.00
ATom-3-2017-10-11-2158,-62.80,211.70,955.00,263.00,17.00
ATom-3-2017-10-11-2226,-63.95,218.52,971.00,238.00,18.00
ATom-3-2017-10-11-2315,-65.16,232.53,958.00,239.00,17.00
ATom-3-2017-10-11-2340,-65.25,239.37,957.00,227.00,17.00
ATom-3-2017-10-12-2417,-64.78,250.12,949.00,228.00,17.00
ATom-3-2017-10-12-2442,-64.08,256.56,946.00,227.00,17.00
ATom-3-2017-10-12-2514,-62.69,264.91,970.00,228.00,18.00
ATom-3-2017-10-12-2538,-61.20,271.08,968.00,197.00,19.00
ATom-3-2017-10-12-2706,-53.94,288.26,980.00,188.00,19.00
ATom-3-2017-10-14-1136,-54.95,290.70,943.00,257.00,17.00
ATom-3-2017-10-14-1234,-58.66,297.12,951.00,257.00,17.00
ATom-3-2017-10-14-1258,-61.38,304.55,948.00,228.00,17.00
ATom-3-2017-10-14-1448,-67.74,327.18,959.00,228.00,17.00
ATom-3-2017-10-14-1514,-70.37,330.82,957.00,228.00,17.00
ATom-3-2017-10-14-1558,-74.62,335.38,917.00,228.00,16.00
ATom-3-2017-10-14-1624,-77.15,338.22,915.00,227.00,16.00
ATom-3-2017-10-14-1753,-76.90,310.44,966.00,217.00,19.00
ATom-3-2017-10-14-1821,-74.43,309.25,964.00,221.00,19.00
ATom-3-2017-10-14-1845,-72.07,307.68,961.00,218.00,18.00
ATom-3-2017-10-14-1908,-69.96,304.04,960.00,206.00,18.00
ATom-3-2017-10-14-2016,-62.83,295.27,960.00,207.00,18.00
ATom-3-2017-10-14-2043,-59.91,293.05,957.00,179.00,18.00
